Gene_Name	HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts
NM_145731	145	189	188	40	40	33
NM_145738	92	101	109	28	31	16
NM_006116	100	95	97	88	82	87
NM_153497	118	120	121	97	87	91
NR_040535	18	25	23	9	5	4
NM_002409	351	453	390	48	42	33
NM_001304564	91	124	107	312	171	196
NR_130789	91	124	107	312	169	195
NM_019008	91	124	107	312	169	195
NR_130151	48	63	53	84	58	66
NM_194326	48	63	53	84	58	66
NM_004810	1	0	3	156	140	114
NM_001291826	1	0	3	114	103	82
NM_001291824	1	0	3	114	103	82
NM_001291828	1	0	3	114	103	82
NM_001291825	1	0	2	76	63	57
NM_138435	2	0	1	15	16	6
NM_001317923	24	35	48	171	116	145
NR_134256	24	35	48	171	116	145
NM_000026	24	35	48	171	116	145
NM_001123378	24	35	48	171	116	145
NM_001301849	84	109	103	134	102	121
NM_015705	84	109	103	134	102	121
NM_001282660	150	164	157	189	140	134
NM_006358	62	70	68	228	161	192
NR_104238	62	70	68	228	161	192
NR_104235	62	70	68	228	161	192
NR_104237	62	70	68	228	161	192
NR_104236	62	70	68	228	161	192
NM_001282727	62	70	68	228	161	192
NM_001282726	62	70	68	228	161	192
NM_003932	234	250	221	415	313	360
NM_001278589	234	250	221	415	313	360
NM_001204827	9	15	8	36	24	26
NM_014248	60	75	66	119	110	117
NR_110514	2	2	1	6	4	4
NM_031488	109	109	101	115	106	111
NM_138481	88	86	79	56	55	48
NM_017590	326	438	373	395	252	328
NM_001145398	373	434	375	43	43	33
NM_003216	331	382	334	38	33	30
NM_032758	24	29	21	136	88	112
NM_001098	297	376	332	362	237	281
NM_138338	188	211	176	230	166	179
NM_001018050	188	211	176	230	166	179
NM_001282884	188	211	176	230	166	179
NM_001018052	188	211	176	230	166	179
NM_001282885	188	211	176	230	166	179
NM_014460	70	97	70	8	6	2
NM_002676	29	43	45	36	19	23
NM_015704	128	181	157	208	138	148
NM_001469	156	157	150	529	399	449
NM_001288977	156	157	150	529	399	449
NM_001288978	156	157	150	529	399	449
NM_001288976	156	157	150	529	399	449
NM_001142964	31	36	32	53	44	50
NM_152513	4	9	9	13	47	7
NM_004599	475	644	600	795	557	709
NR_103834	475	644	600	795	557	709
NR_024355	26	24	24	3	5	3
NM_019106	604	756	710	43	42	50
NM_145733	604	756	710	43	42	50
NM_152613	29	15	25	14	23	13
NM_002490	60	70	74	113	86	96
NR_034118	66	65	68	43	46	29
NR_120595	2	7	7	5	4	3
NR_120596	2	7	7	5	4	3
NR_120597	2	7	7	5	4	3
NM_001318323	6	5	13	9	21	8
NM_145912	6	5	13	9	21	8
NM_015703	83	107	112	175	108	135
NR_104301	190	232	184	242	317	306
NR_104300	190	232	184	242	317	306
NM_014509	190	232	184	242	317	306
NM_001284334	190	232	184	242	317	306
NR_002184	10	23	18	75	54	51
NM_001171661	118	153	130	279	191	221
NM_001171660	113	150	125	276	188	217
NM_007326	118	153	130	279	191	221
NM_000398	119	154	132	282	192	222
NM_001129819	118	153	130	279	191	221
NM_001318038	10	6	3	49	45	35
NM_017436	10	6	3	49	45	35
NM_014570	75	73	66	191	156	134
NM_001142293	75	73	66	191	156	134
NM_001184971	153	171	174	370	303	328
NM_007229	141	157	158	342	272	298
NR_027779	32	34	33	10	24	11
NM_012263	32	34	33	10	24	11
NR_046423	22	34	33	73	42	43
NM_173467	22	34	33	73	42	43
NM_014507	22	34	33	73	42	43
NR_046308	5	9	15	102	62	73
NM_000714	5	9	15	102	62	73
NM_001256531	5	9	15	102	62	73
NM_001256530	5	9	15	102	62	73
NM_015140	56	97	52	202	172	176
NR_134582	0	0	0	2	2	1
NM_001044370	111	143	127	1	33	4
NR_046563	9	12	6	0	11	0
NM_014351	267	326	318	24	28	18
NM_138814	5	3	1	0	4	0
NM_001177675	5	3	1	0	4	0
NM_025225	8	10	7	98	66	79
NM_015380	44	41	46	74	82	63
NM_001137605	19	13	12	46	46	27
NM_022141	17	13	12	40	34	24
NM_032287	174	255	175	237	149	179
NR_044991	0	0	0	1	4	0
NM_181333	20	22	21	76	51	60
NR_038957	39	43	45	74	54	54
NR_038956	64	75	89	151	109	113
NM_007172	124	154	141	388	278	287
NM_153645	123	150	136	379	273	280
NM_015264	267	293	261	204	142	145
NM_001104595	71	57	73	163	107	158
NM_017911	71	57	73	162	107	158
NM_015653	1	3	4	10	19	8
NM_006487	13	17	13	55	68	56
NM_006485	18	24	15	86	91	90
NM_001996	18	23	15	84	90	90
NM_006486	24	30	17	106	125	109
NM_058238	11	10	11	33	45	31
NM_018280	15	25	18	7	5	1
NR_110479	317	413	339	219	147	165
NR_027033	317	413	339	219	147	165
NM_005036	81	114	104	254	210	199
NM_001001928	81	114	104	254	210	199
NM_207327	20	14	19	25	19	23
NM_017931	33	26	22	88	76	76
NM_016426	3	3	1	154	143	138
NM_001282782	86	83	76	161	102	125
NR_104241	86	83	76	161	102	125
NM_001282783	86	83	76	161	102	125
NM_018006	86	83	76	161	102	125
NM_001282785	86	83	76	161	102	125
NM_001282784	86	83	76	161	102	125
NR_104240	86	83	76	161	102	125
NM_022766	200	228	217	319	227	237
NR_109967	0	0	2	0	9	3
NR_033377	8	8	5	10	7	5
NR_038917	25	26	32	1	3	1
NM_001289922	10	6	2	128	86	97
NM_014838	115	130	144	292	224	221
NM_024105	26	44	36	78	42	61
NM_001284318	15	23	22	45	27	25
NM_001284317	15	23	22	45	27	25
NM_001135101	15	23	22	45	27	25
NM_024324	15	23	22	45	27	25
NR_104295	15	23	22	45	27	25
NM_001001694	2	0	3	1	11	8
NM_015166	230	258	236	11	22	8
NM_139202	227	256	235	11	21	8
NM_052839	76	91	87	12	10	9
NR_027691	76	91	87	12	10	9
NM_001160300	76	91	87	12	10	9
NM_025204	50	66	62	94	81	98
NM_031454	140	146	114	163	94	116
NM_020461	178	212	175	212	135	174
NM_001303252	39	38	30	81	52	87
NM_002969	39	38	30	81	52	87
NR_110887	49	81	60	23	14	24
NM_002751	49	81	60	23	14	24
NM_001001794	36	43	39	19	20	17
NM_002972	372	441	365	300	229	237
NM_001253845	0	2	1	27	22	29
NM_014551	19	21	14	63	37	47
NM_001185011	57	93	60	179	104	148
NM_152299	57	93	60	179	104	148
NM_001014440	8	9	9	9	12	10
NR_027928	70	83	96	126	96	118
NM_005198	35	38	47	61	52	59
NM_001097	1	0	0	0	4	1
NR_026981	64	77	66	70	59	64
NM_001130919	51	55	45	52	41	46
NM_001130920	51	55	45	52	41	46
NM_007081	51	55	45	52	41	46
NM_001130921	51	55	45	52	41	46
NM_001130922	51	55	45	52	41	46
NM_001130923	51	55	45	52	41	46
NM_001003789	51	55	45	52	41	46
NR_026982	10	17	19	11	14	16
NR_046571	0	0	0	0	3	0
NR_134584	0	0	0	1	1	0
NR_003607	0	0	0	0	0	0
NM_031890	26	45	32	9	6	4
NM_001163079	26	45	32	9	6	4
NR_036168	0	0	0	0	0	1
NR_103718	1	0	0	1	2	4
NR_030378	0	0	6	0	0	0
NM_005675	64	93	84	23	16	20
NR_026651	12	9	11	0	0	1
NR_024157	5	12	13	22	6	15
NR_103767	3	1	3	11	8	11
NM_001287387	13	36	26	114	78	120
NM_001256534	13	36	26	114	78	120
NR_046298	13	36	26	114	78	120
NM_005984	13	36	26	114	78	120
NM_003776	27	35	28	92	54	73
NM_001318151	27	35	25	90	52	69
NM_001318152	27	33	24	86	51	65
NM_003277	59	84	57	1	2	0
NM_001130861	59	84	57	1	2	0
NR_024381	0	0	0	0	0	0
NM_000407	33	45	36	17	9	18
NM_080647	1	0	2	8	11	5
NR_039918	0	8	1	3	1	8
NR_029706	0	0	0	0	0	0
NR_037412	4	3	0	2	4	6
NR_031706	2	5	1	11	11	8
NR_106874	4	0	1	1	0	1
NM_001278639	32	40	31	240	152	176
NM_001278640	16	22	27	195	133	141
NM_002882	16	22	27	195	133	141
NM_001278641	16	21	27	195	132	141
NM_001243537	3	3	1	0	2	2
NR_038460	0	3	4	1	2	1
NR_026919	0	3	0	8	4	7
NR_031618	1	3	0	0	0	0
NM_033257	43	49	42	74	40	81
NM_001242313	2	3	6	1	1	1
NM_015672	1	2	3	6	13	11
NR_024592	0	0	1	0	1	0
NR_026815	3	7	0	0	4	5
NM_030573	29	48	33	72	56	62
NM_001008695	29	48	33	72	56	62
NR_027052	5	6	6	9	0	5
NR_027051	19	25	32	33	17	24
NM_004173	19	28	20	8	5	3
NR_030379	0	0	0	0	0	1
NM_001128635	1	0	0	6	7	3
NM_001017964	16	21	19	135	77	110
NM_022044	5	11	1	43	25	37
NR_030622	0	0	0	0	0	0
NR_029845	0	1	0	1	1	0
NM_001303509	0	0	0	1	0	1
NM_007128	0	0	0	1	0	1
NM_001291717	0	0	0	724	419	539
NM_206953	0	0	0	724	419	539
NM_001291716	0	0	0	723	417	539
NM_001291719	0	0	0	723	417	539
NM_006115	0	0	0	724	419	539
NM_206956	0	0	0	724	419	539
NM_001291715	0	0	0	723	417	539
NM_001318126	0	0	0	649	388	494
NM_001318127	0	0	0	629	367	477
NM_206955	0	0	0	724	419	539
NM_206954	0	0	0	724	419	539
NM_001282879	0	0	1	1	4	1
NM_199127	0	0	1	1	4	1
NR_030755	0	0	0	0	1	0
NR_049835	0	0	0	0	1	0
NR_033408	2	4	5	8	6	10
NR_110538	0	0	0	0	1	1
NM_013378	0	0	2	1	0	3
NM_182520	15	33	16	26	19	22
NR_125756	33	45	27	36	30	40
NR_125755	33	45	27	36	30	40
NM_001301339	33	45	27	36	30	40
NM_213720	33	45	27	36	30	40
NM_001002862	4	8	5	54	29	56
NM_001135751	4	8	5	54	29	56
NM_198440	4	8	5	54	29	56
NR_038911	78	120	95	356	257	349
NM_002415	60	102	78	327	236	321
NM_001080843	2	8	3	10	10	8
NR_126445	2	8	3	10	10	8
NR_126442	3	2	4	10	2	2
NR_126445	3	2	4	10	2	2
NR_126446	3	2	4	10	2	2
NM_000854	3	2	4	10	2	2
NM_001302670	3	2	4	10	2	2
NM_001080843	3	2	4	10	2	2
NM_001144931	1	1	1	6	5	7
NR_132348	2	1	3	2	1	9
NM_019601	6	5	5	7	14	8
NR_001283	0	0	0	0	1	0
NM_001001663	0	3	1	0	4	1
NR_038941	18	23	14	15	12	13
NM_004076	5	3	2	4	3	2
NR_029395	0	1	0	0	1	0
NR_106875	1	1	1	0	1	0
NR_031615	0	0	0	2	0	0
NM_001886	2	0	0	1	3	1
NM_001318329	1	0	2	0	7	0
NM_001318392	0	0	0	0	1	0
NR_134581	0	0	0	0	4	0
NR_026962	24	27	22	46	32	37
NR_036169	1	0	0	1	0	1
NR_036170	0	0	0	1	0	1
NR_106713	0	0	1	3	2	2
NM_015370	0	2	0	0	2	0
NM_012265	29	49	39	103	60	87
NM_006477	7	20	14	0	2	0
NR_037426	2	1	0	2	1	2
NR_003686	2	1	0	2	1	2
NM_182527	21	29	32	22	10	13
NM_013387	56	68	65	124	63	97
NM_001003684	56	68	65	124	63	97
NR_106876	0	0	1	1	0	3
NM_001319108	0	0	1	1	0	2
NM_020530	0	2	3	2	0	2
NM_001037666	15	11	8	8	6	6
NM_001017981	45	39	30	29	26	32
NM_001003704	1	6	5	51	39	47
NM_016498	1	6	5	51	39	47
NR_001580	0	0	0	0	0	0
NM_001318110	21	18	18	5	8	6
NM_001318111	21	18	18	5	8	6
NM_004861	21	18	18	5	8	6
NM_001318116	18	14	14	3	5	3
NM_001318115	18	14	14	3	5	3
NM_001318114	18	14	14	3	5	3
NM_001318113	18	14	14	3	5	3
NM_001318112	18	14	14	3	5	3
NM_001001479	22	39	32	19	14	14
NM_001304795	25	42	32	36	28	19
NM_152511	12	18	20	21	17	9
NM_001304796	12	18	20	21	17	9
NM_001304794	12	18	20	21	17	9
NR_036171	1	0	0	0	0	0
NR_026920	9	22	14	30	12	16
NM_080430	64	54	47	17	11	12
NM_015715	2	5	2	9	10	7
NR_037496	0	0	0	0	0	0
NR_110542	1	7	6	13	4	11
NM_032051	41	28	38	103	68	71
NR_120386	22	28	31	24	27	24
NM_014338	209	263	227	166	84	114
NR_106959	6	4	10	3	2	0
NR_126507	11	17	18	7	11	5
NM_001302820	0	4	2	1	4	0
NM_015372	11	17	18	7	11	5
NM_001302819	0	4	2	1	4	0
NM_001098535	2	2	1	0	1	3
NR_001450	5	3	3	1	5	4
NR_002596	5	3	3	1	5	4
NR_104232	5	3	3	1	5	5
NR_038918	1	3	3	3	5	4
NR_039921	1	0	0	0	0	0
NR_037471	1	0	0	1	1	0
NR_106717	0	0	0	0	0	0
NM_030642	0	1	1	0	6	0
NR_106877	0	0	0	4	3	2
NR_033531	8	8	8	7	8	6
NR_038954	0	0	0	0	1	0
NM_001270483	27	28	26	89	70	57
NM_003312	27	28	26	89	70	56
NM_182486	6	2	7	78	56	58
NM_031910	6	2	7	78	56	58
NM_006498	1	0	1	11	16	14
NM_002305	25	30	29	229	159	246
NM_024313	16	19	29	47	40	30
NM_138632	13	10	6	80	60	66
NM_005318	106	145	112	252	167	190
NM_003614	1	0	2	1	2	1
NR_030395	0	3	1	0	0	4
NR_030396	0	0	0	1	0	0
NM_001207062	23	41	26	52	47	35
NM_032561	23	41	26	52	47	35
NR_106878	1	0	1	8	5	0
NR_039759	0	3	0	3	0	1
NM_013356	11	16	10	24	12	15
NR_132774	2	5	4	2	0	0
NM_016657	4	1	4	27	34	31
NR_103474	0	0	0	3	0	1
NR_134627	1	0	0	0	3	0
NM_020243	36	42	33	117	60	97
NM_005740	24	43	42	42	21	23
NM_001303494	714	855	805	366	249	300
NM_014292	714	855	805	366	249	300
NR_104187	1	0	0	10	6	9
NM_014508	2	1	3	26	12	21
NM_001006666	0	0	0	2	2	3
NM_145298	0	2	1	21	18	17
NM_021822	3	8	1	25	21	18
NM_001166004	5	3	2	1	1	0
NM_181773	6	4	3	1	2	0
NM_001166003	6	4	3	1	2	0
NM_001166002	6	4	3	1	2	0
NR_000028	0	1	1	18	7	9
NR_000027	2	0	1	9	6	3
NR_000026	2	2	1	11	9	10
NR_002439	0	1	1	2	4	10
NR_126469	5	9	8	1	2	1
NM_001098270	253	318	266	35	16	24
NR_130790	29	47	39	109	67	67
NM_001675	231	280	253	1091	679	864
NM_182810	231	280	253	1091	679	864
NR_039988	0	0	3	11	6	5
NR_109965	8	17	13	19	13	12
NM_005297	12	21	17	2	3	2
NR_039923	0	0	0	2	0	2
NM_145174	2	5	0	7	7	5
NR_132979	0	0	0	0	0	0
NR_031694	1	1	2	2	1	1
NR_106949	0	1	0	2	4	1
NM_016272	267	349	277	188	145	174
NR_134631	1	4	0	0	3	0
NR_029507	0	1	2	0	0	0
NM_001207020	55	55	59	0	2	3
NR_039760	1	0	1	1	2	1
NM_052945	1	1	1	4	1	5
NM_001110215	0	2	0	39	14	22
NM_001304371	0	0	0	10	8	13
NM_000262	23	40	45	105	85	98
NM_001002034	9	3	4	5	6	6
NM_033318	21	41	38	26	13	20
NM_000106	25	33	21	21	10	8
NR_111920	25	33	21	21	10	8
NM_001025161	25	33	21	21	10	8
NR_002570	8	19	14	2	9	14
NR_036498	5	5	5	17	8	6
NR_027786	65	100	112	103	61	79
NR_029422	5	10	7	14	2	9
NM_001165877	0	3	1	2	0	0
NR_125362	15	13	7	1	9	3
NR_134632	0	0	0	0	0	0
NR_109966	0	0	0	0	0	0
NR_028411	0	0	0	0	5	0
NR_028410	0	0	0	0	5	0
NR_028409	0	0	0	0	5	0
NR_031651	1	1	4	0	1	0
NM_001167574	0	0	0	1	3	0
NM_006953	0	0	0	1	3	0
NR_131244	0	0	0	4	2	0
NR_039919	1	0	0	0	1	1
NR_027240	3	2	2	4	5	3
NR_027036	7	14	8	6	4	8
NR_027034	25	36	24	9	12	15
NR_037413	2	2	1	5	1	2
NR_029478	0	0	0	1	0	0
NR_039920	3	3	3	3	2	2
NR_029479	0	1	0	2	1	1
NM_006071	6	6	7	8	12	8
NR_024009	2	2	3	2	2	3
NR_122047	3	4	4	4	12	7
NR_036172	0	0	0	0	0	0
NR_039761	0	0	0	0	1	0
NR_037440	0	0	0	0	0	0
NM_001001852	40	52	46	131	87	94
NR_106879	0	2	6	15	5	6
NM_032019	19	22	31	44	41	49
NM_001159286	19	22	31	44	41	49
NM_017584	0	0	0	1	0	0
NM_033200	30	43	44	123	80	106
NM_001169111	25	54	34	55	33	64
NM_001169110	25	58	34	58	34	65
NM_001169109	25	60	34	58	35	65
NM_005138	25	54	34	55	33	64
NM_001257989	22	23	25	47	16	31
NM_001257988	22	23	25	47	16	31
NM_001953	22	23	25	47	16	31
NM_001113755	22	23	25	47	16	31
NM_001113756	22	23	25	47	16	31
NM_001123225	0	0	1	0	1	0
NM_004377	35	40	47	63	41	52
NM_152245	35	44	49	65	44	56
NM_152246	35	40	47	63	41	52
NM_001145135	35	44	49	65	44	56
NM_001145137	32	40	47	63	39	51
NM_001145134	35	44	49	65	44	56
NR_021492	5	1	3	1	2	1
NR_110536	28	24	23	12	12	15
NM_012324	242	340	290	8	10	4
NM_000487	44	46	57	45	29	45
NM_001085427	44	46	57	45	29	45
NM_001085426	44	46	57	45	29	45
NM_001085428	44	46	57	45	29	45
NM_001085425	44	46	57	45	29	45
NR_134637	0	2	1	0	1	0
